Feature,Importance
model_3_best0,13172.663713693619
model_4_best0,11592.206848144531
model_11_best0,8823.785259366035
model_22_best0,7813.820019960403
model_30_best0,7155.989499330521
model_20_best0,6822.704477787018
model_13_best0,6624.835819482803
model_17_best0,5801.260640144348
model_9_best0,4682.882879018784
model_5_best0,4495.925344347954
model_12_best0,4311.800455331802
model_10_best0,4121.403357028961
model_21_best0,2926.1266577243805
model_6_best0,2924.6798565387726
